"","Player","Date","OPP","Result","CMP","ATT","YDS","CMP.","AVG","TD","INT","LNG","SACK","RTG","QBR","GameLink"
"82","Jared GoffLAR","Sun 11/17","vsCHI","W17-7","11","18","173","61.1","9.6","0","1","50","0","69.9","34.7","http://www.espn.com/nfl/game/_/gameId/401128133"
"92","Jared GoffLAR","Sun 11/10","@PIT","L17-12","22","41","243","53.7","5.9","0","2","24","4","51.2","24.8","http://www.espn.com/nfl/game/_/gameId/401127989"
"102","Jared GoffLAR","Sun 10/27","vsCIN","W24-10","17","31","372","54.8","12.0","2","0","65","0","119.3","88.2","http://www.espn.com/nfl/game/_/gameId/401127912"
"112","Jared GoffLAR","Sun 10/20","@ATL","W37-10","22","37","268","59.5","7.2","2","0","33","0","99.8","60.2","http://www.espn.com/nfl/game/_/gameId/401127940"
"122","Jared GoffLAR","Sun 10/13","vsSF","L20-7","13","24","78","54.2","3.3","0","0","12","4","60.8","0.9","http://www.espn.com/nfl/game/_/gameId/401128128"
"132","Jared GoffLAR","Thu 10/3","@SEA","L30-29","29","49","395","59.2","8.1","1","1","32","0","83.3","67.2","http://www.espn.com/nfl/game/_/gameId/401127927"
"142","Jared GoffLAR","Sun 9/29","vsTB","L55-40","45","68","517","66.2","7.6","2","3","37","2","80.3","36.1","http://www.espn.com/nfl/game/_/gameId/401128069"
"152","Jared GoffLAR","Sun 9/22","@CLE","W20-13","24","38","268","63.2","7.1","2","2","23","2","79.7","47.2","http://www.espn.com/nfl/game/_/gameId/401128125"
"162","Jared GoffLAR","Sun 9/15","vsNO","W27-9","19","28","283","67.9","10.1","1","0","66","3","112.6","52.4","http://www.espn.com/nfl/game/_/gameId/401128122"
"172","Jared GoffLAR","Sun 9/8","@CAR","W30-27","23","39","186","59.0","4.8","1","1","24","1","69.0","31.5","http://www.espn.com/nfl/game/_/gameId/401127923"
