"","Player","Date","OPP","Result","CMP","ATT","YDS","CMP.","AVG","TD","INT","LNG","SACK","RTG","QBR","GameLink"
"2","Patrick MahomesKC","Sun 11/22","@LV","W35-31","34","45","348","75.6","7.7","2","1","22","0","102.8","90.6","http://www.espn.com/nfl/game/_/gameId/401220227"
"3","Patrick MahomesKC","Sun 11/8","vsCAR","W33-31","30","45","372","66.7","8.3","4","0","44","2","121.7","82.1","http://www.espn.com/nfl/game/_/gameId/401220224"
"4","Patrick MahomesKC","Sun 11/1","vsNYJ","W35-9","31","42","416","73.8","9.9","5","0","41","0","144.4","89.2","http://www.espn.com/nfl/game/_/gameId/401220222"
"5","Patrick MahomesKC","Sun 10/25","@DEN","W43-16","15","23","200","65.2","8.7","1","0","38","3","107.2","49.6","http://www.espn.com/nfl/game/_/gameId/401220210"
"6","Patrick MahomesKC","Mon 10/19","@BUF","W26-17","21","26","225","80.8","8.7","2","0","37","1","128.4","85.1","http://www.espn.com/nfl/game/_/gameId/401220117"
"7","Patrick MahomesKC","Sun 10/11","vsLV","L40-32","22","43","340","51.2","7.9","2","1","37","3","83.5","72.2","http://www.espn.com/nfl/game/_/gameId/401220219"
"8","Patrick MahomesKC","Mon 10/5","vsNE","W26-10","19","29","236","65.5","8.1","2","0","45","1","113.6","52.7","http://www.espn.com/nfl/game/_/gameId/401220221"
"9","Patrick MahomesKC","Mon 9/28","@BAL","W34-20","31","42","385","73.8","9.2","4","0","49","0","133.5","98.5","http://www.espn.com/nfl/game/_/gameId/401220153"
"10","Patrick MahomesKC","Sun 9/20","@LAC","W23-20 OT","27","47","302","57.4","6.4","2","0","54","1","90.9","84.6","http://www.espn.com/nfl/game/_/gameId/401220235"
"11","Patrick MahomesKC","Thu 9/10","vsHOU","W34-20","24","32","211","75.0","6.6","3","0","19","1","123.3","87.0","http://www.espn.com/nfl/game/_/gameId/401220225"
"21","Russell WilsonSEA","Thu 11/19","vsARI","W28-21","23","28","197","82.1","7.0","2","0","25","3","119.8","43.5","http://www.espn.com/nfl/game/_/gameId/401220360"
"31","Russell WilsonSEA","Sun 11/15","@LAR","L23-16","22","37","248","59.5","6.7","0","2","39","6","57.0","31.2","http://www.espn.com/nfl/game/_/gameId/401220346"
"41","Russell WilsonSEA","Sun 11/8","@BUF","L44-34","28","41","390","68.3","9.5","2","2","55","5","94.6","69.3","http://www.espn.com/nfl/game/_/gameId/401220120"
"51","Russell WilsonSEA","Sun 11/1","vsSF","W37-27","27","37","261","73.0","7.1","4","0","46","2","128.3","88.7","http://www.espn.com/nfl/game/_/gameId/401220361"
"61","Russell WilsonSEA","Sun 10/25","@ARI","L37-34 OT","33","50","388","66.0","7.8","3","3","47","2","84.4","70.3","http://www.espn.com/nfl/game/_/gameId/401220338"
"71","Russell WilsonSEA","Sun 10/11","vsMIN","W27-26","20","32","217","62.5","6.8","3","1","39","4","100.7","73.3","http://www.espn.com/nfl/game/_/gameId/401220367"
"81","Russell WilsonSEA","Sun 10/4","@MIA","W31-23","24","34","360","70.6","10.6","2","1","57","2","112.4","77.4","http://www.espn.com/nfl/game/_/gameId/401220128"
"91","Russell WilsonSEA","Sun 9/27","vsDAL","W38-31","27","40","315","67.5","7.9","5","0","62","4","130.7","84.1","http://www.espn.com/nfl/game/_/gameId/401220363"
"101","Russell WilsonSEA","Sun 9/20","vsNE","W35-30","21","28","288","75.0","10.3","5","1","54","2","132.1","84.7","http://www.espn.com/nfl/game/_/gameId/401220365"
"111","Russell WilsonSEA","Sun 9/13","@ATL","W38-25","31","35","322","88.6","9.2","4","0","38","3","143.1","86.6","http://www.espn.com/nfl/game/_/gameId/401220313"
"22","Matt RyanATL","Sun 11/22","@NO","L24-9","19","37","232","51.4","6.3","0","2","46","8","48.5","19.2","http://www.espn.com/nfl/game/_/gameId/401220321"
"32","Matt RyanATL","Sun 11/8","vsDEN","W34-27","25","35","284","71.4","8.1","3","1","51","2","112.1","95.5","http://www.espn.com/nfl/game/_/gameId/401220311"
"42","Matt RyanATL","Thu 10/29","@CAR","W25-17","21","30","281","70.0","9.4","0","1","28","2","85.6","88.6","http://www.espn.com/nfl/game/_/gameId/401220314"
"52","Matt RyanATL","Sun 10/25","vsDET","L23-22","31","42","338","73.8","8.0","1","0","28","2","105.1","87.6","http://www.espn.com/nfl/game/_/gameId/401220310"
"62","Matt RyanATL","Sun 10/18","@MIN","W40-23","30","40","371","75.0","9.3","4","0","40","2","136.6","93.4","http://www.espn.com/nfl/game/_/gameId/401220301"
"72","Matt RyanATL","Sun 10/11","vsCAR","L23-16","21","37","226","56.8","6.1","0","1","26","2","63.6","23.4","http://www.espn.com/nfl/game/_/gameId/401220306"
"82","Matt RyanATL","Mon 10/5","@GB","L30-16","28","39","285","71.8","7.3","0","0","21","4","92.4","82.1","http://www.espn.com/nfl/game/_/gameId/401220293"
"92","Matt RyanATL","Sun 9/27","vsCHI","L30-26","19","38","238","50.0","6.3","1","1","63","2","67.7","35.9","http://www.espn.com/nfl/game/_/gameId/401220309"
"102","Matt RyanATL","Sun 9/20","@DAL","L40-39","24","36","273","66.7","7.6","4","0","42","1","126.3","87.2","http://www.espn.com/nfl/game/_/gameId/401220249"
"112","Matt RyanATL","Sun 9/13","vsSEA","L38-25","37","54","450","68.5","8.3","2","1","44","2","98.5","64.8","http://www.espn.com/nfl/game/_/gameId/401220313"
